"","area","rooms","suites","bathrooms","parkings","price","neighborhood"
"15581",293,"4","3","1","3",3150000,"JP"
"15582",130,"3","--","2","1",1150000,"JP"
"15583",310,"4","1","3","2",3e+06,"JP"
"15584",50,"1","1","1","--",797000,"JP"
"15585",185,"3","1","3","2",1550000,"JP"
"15586",163,"3","2","3","2",2150000,"JP"
"15587",210,"3","3","5","2",2390000,"JP"
"15588",65,"2","1","3","2",1250000,"JP"
"15589",347,"4","3","5","2",3750000,"JP"
"15590",284,"3","1","3","2",3940000,"JP"
"15591",244,"3","1","2","3",3e+06,"JP"
"15592",210,"3","1","4","2",1970000,"JP"
"15593",750,"4","4","5","3",1.8e+07,"JP"
"15594",145,"3","1","3","1",1170000,"JP"
"15595",214,"3","1","2","2",1980000,"JP"
"15596",110,"3","1","3","1",1100000,"JP"
"15597",120,"4","1","2","1",1300000,"JP"
"15598",120,"3","--","3","1",1070000,"JP"
"15599",190,"4","3","4","3",1900000,"JP"
"15600",259,"3","1","5","1",4500000,"JP"
"15601",280,"3","3","5","2",3500000,"JP"
"15602",243,"4","2","4","3",3e+06,"JP"
"15603",291,"4","2","4","2",3400000,"JP"
"15604",107,"3","1","2","--",1290000,"JP"
"15605",539,"--","4","6","4",8500000,"JP"
"15606",165,"3","1","2","1",1680000,"JP"
"15607",112,"2","1","2","1",1150000,"JP"
"15608",178,"4","1","3","1",1700000,"JP"
"15609",222,"4","1","3","2",1800000,"JP"
"15610",680,"4","4","2","4",6800000,"JP"
"15611",135,"3","1","2","--",1180000,"JP"
"15612",135,"2","2","2","1",1450000,"JP"
"15613",200,"4","1","3","2",1980000,"JP"
"15614",205,"4","4","6","4",3100000,"JP"
"15615",120,"3","1","2","2",1272000,"JP"
"15616",140,"3","1","4","1",1488000,"JP"
"15617",73,"2","--","1","1",660000,"JP"
"15618",210,"3","2","4","2",2100000,"JP"
"15619",206,"3","1","3","2",2150000,"JP"
"15620",210,"3","3","4","2",2980000,"JP"
"15621",239,"3","3","5","4",4350000,"JP"
"15622",300,"3","3","5","3",2399000,"JP"
"15623",170,"3","1","2","1",1300000,"JP"
"15624",165,"3","2","4","1",1595000,"JP"
"15625",350,"4","1","4","2",3500000,"JP"
"15626",53,"2","1","2","1",730000,"JP"
"15627",135,"3","1","4","1",1680000,"JP"
"15628",142,"3","1","2","1",1450000,"JP"
"15629",290,"4","2","5","4",3600000,"JP"
"15630",105,"3","--","3","1",1178000,"JP"
"15631",180,"3","--","3","1",1600000,"JP"
"15632",215,"4","3","5","3",4300000,"JP"
"15633",75,"2","1","3","1",950000,"JP"
"15634",246,"3","3","5","2",2100000,"JP"
"15635",120,"3","2","3","1",1231000,"JP"
"15636",91,"2","--","1","2",1250000,"JP"
"15637",89,"2","--","3","1",8e+05,"JP"
"15638",161,"3","1","4","1",1890000,"JP"
"15639",90,"1","1","1","1",799000,"JP"
"15640",72,"2","1","2","1",1250171,"JP"
"15641",210,"4","4","4","4",3900000,"JP"
"15642",263,"4","4","6","4",8179009,"JP"
"15643",58,"2","--","1","2",730000,"JP"
"15644",123,"3","1","3","1",1590000,"JP"
"15645",89,"2","--","2","1",8e+05,"JP"
"15646",190,"3","1","3","1",1990000,"JP"
"15647",190,"4","3","4","3",1900000,"JP"
"15648",134,"3","1","1","2",1300000,"JP"
"15649",202,"2","2","--","1",3e+06,"JP"
"15650",190,"4","3","4","3",1900000,"JP"
"15651",134,"3","1","1","2",1300000,"JP"
"15652",202,"2","2","--","1",3e+06,"JP"
"15653",140,"3","1","3","1",1270000,"JP"
"15654",159,"3","1","2","1",1720000,"JP"
"15655",165,"3","3","4","2",2470000,"JP"
"15656",62,"1","--","1","1",750000,"JP"
"15657",150,"2","1","2","1",1325000,"JP"
"15658",407,"4","4","6","5",8500000,"JP"
"15659",259,"4","4","5","4",4900000,"JP"
"15660",410,"4","4","7","5",8132000,"JP"
"15661",42,"1","--","1","1",690000,"JP"
"15662",166,"3","1","2","2",1850000,"JP"
"15663",138,"3","1","3","1",1150000,"JP"
"15664",198,"4","1","3","2",1990000,"JP"
"15665",165,"3","1","3","1",1400000,"JP"
"15666",280,"3","3","5","2",3500000,"JP"
"15667",102,"2","--","2","1",1100000,"JP"
"15668",143,"3","--","4","1",1747000,"JP"
